planta,ncu,tcu,tracker,zona,id_levantamiento,tipo,linea,r41033_west_pitch_m,r41106_east_pitch_m,r41035_panel_width_m,r41037_max_west_deg,r41038_max_east_deg,r41098_west_grade_rad,r41100_west_grade_azimuth_rad,r41102_east_grade_rad,r41104_east_grade_azimuth_rad,oeste_vector_pct,oeste_azimut_deg,este_vector_pct,este_azimut_deg,oeste_transv_pct,este_transv_pct,pendiente_longitudinal_pct,oeste_vecina_critica,este_vecina_critica
ayora,10,68,TK 068-07,PD,PD-127,2TTx56,74,5.99,6.004,2.384,55,55,0.054835,0.916298,0.033537,6.185447,5.489,52.5,3.355,354.4,4.357,0.326,-3.339,PD-117-1,PD-127-1 (hermana)
ayora,13,78,TK 078-09,PD,PD-128,2TTx42,76,5.886,5.726,2.384,55,55,0.064939,0.181514,0.068632,5.90794,6.503,10.4,6.874,338.5,1.178,2.521,-6.395,PD-128-0 (hermana),PD-138-0
ayora,15,36,TK 036-10,PD,PD-129,2TTx56,70,4.447,5.869,2.384,55,55,0.031609,5.597271,0.031609,5.597271,3.162,320.7,3.162,320.7,-2.002,2.002,-2.448,PD-129-0 (hermana),PD-129-1 (hermana)
ayora,11,42,TK 042-07,PD,PD-130,2TTx42,74,5.99,6.004,2.384,55,55,0.042984,5.811946,0.043562,5.785766,4.301,333,4.359,331.5,-1.953,2.077,-3.832,PD-130-0 (hermana),PD-142-0
ayora,11,41,TK 041-07,PD,PD-131,2TTx28,74,5.99,6.004,2.384,55,55,0.046576,5.663593,0.054177,5.487315,4.661,324.5,5.423,314.4,-2.707,3.873,-3.795,PD-118-1,PD-131-1 (hermana)
ayora,11,9,TK 009-07,PD,PD-132,2TTx56,74,5.99,6.004,2.384,55,55,0.050367,6.126106,0.057626,5.754351,5.041,351,5.769,329.7,-0.786,2.912,-4.98,PD-120-1,PD-132-1 (hermana)
ayora,12,39,TK 039-08,PD,PD-133,2TTx42,76,5.886,5.726,2.384,55,55,0.018278,0.736529,0.015219,0.471239,1.828,42.2,1.522,27,1.227,-0.692,-1.355,PD-133-0 (hermana),PD-147-0
ayora,11,8,TK 008-07,PD,PD-134,2TTx56,74,5.99,6.004,2.384,55,55,0.027073,0.148353,0.026874,0.089012,2.708,8.5,2.688,5.1,0.401,-0.239,-2.678,PD-134-0 (hermana),PD-146-0
ayora,12,2,TK 002-08,PD,PD-135,2TTx28,76,5.886,5.726,2.384,55,55,0.023536,0.164061,0.027083,5.742133,2.354,9.4,2.709,329,0.386,1.397,-2.322,PD-122-1,PD-149-0
ayora,13,82,TK 082-09,PD,PD-136,2TTx56,78,5.978,5.948,2.384,55,55,0.057756,0.555015,0.057756,0.555015,5.782,31.8,5.782,31.8,3.047,-3.047,-4.915,PD-136-0 (hermana),PD-136-1 (hermana)
