planta,ncu,tcu,tracker,zona,id_levantamiento,tipo,linea,r41033_west_pitch_m,r41106_east_pitch_m,r41035_panel_width_m,r41037_max_west_deg,r41038_max_east_deg,r41098_west_grade_rad,r41100_west_grade_azimuth_rad,r41102_east_grade_rad,r41104_east_grade_azimuth_rad,oeste_vector_pct,oeste_azimut_deg,este_vector_pct,este_azimut_deg,oeste_transv_pct,este_transv_pct,pendiente_longitudinal_pct,oeste_vecina_critica,este_vecina_critica
sanjose,1,68,TR-01_1-068,SJ,TR-01_1-068,2TTx64,495,6.237,6.219,2.382,55,55,0.032598,4.904375,0.028003,4.935791,3.261,281,2.801,282.8,-3.201,2.731,-0.621,TR-01_1-067-E,
sanjose,1,69,TR-01_1-069,SJ,TR-01_1-069,2TTx64,472,6.526,6.178,2.382,55,55,,,0.028782,5.359906,,,2.879,307.1,,2.295,-1.738,,TR-01_1-070-W
sanjose,1,70,TR-01_1-070,SJ,TR-01_1-070,2TTx64,473,6.178,6.162,2.382,55,55,0.036524,5.105088,0.068413,4.918338,3.654,292.5,6.852,281.8,-3.375,6.707,-1.401,TR-01_1-069-E,TR-01_1-071-W
sanjose,1,71,TR-01_1-071,SJ,TR-01_1-071,2TTx64,475,6.273,6.102,2.382,55,55,0.094587,4.820599,0.038092,4.982915,9.487,276.2,3.811,285.5,-9.432,3.673,-1.017,TR-01_1-070-E,TR-01_1-072-W
sanjose,1,72,TR-01_1-072,SJ,TR-01_1-072,2TTx64,477,6.068,6.226,2.382,55,55,0.034586,5.00735,0.017208,5.335472,3.46,286.9,1.721,305.7,-3.311,1.397,-1.005,TR-01_1-071-E,TR-01_1-073-W
sanjose,1,73,TR-01_1-073,SJ,TR-01_1-073,2TTx64,479,6.273,6.097,2.382,55,55,0.028113,5.293584,0.03885,5.120796,2.812,303.3,3.887,293.4,-2.35,3.567,-1.543,TR-01_1-072-E,TR-01_1-074-W
sanjose,1,74,TR-01_1-074,SJ,TR-01_1-074,2TTx64,481,6.281,6.141,2.382,55,55,0.0389,5.164429,0.037752,5.180137,3.892,295.9,3.777,296.8,-3.5,3.372,-1.701,TR-01_1-073-E,TR-01_1-075-W
sanjose,1,75,TR-01_1-075,SJ,TR-01_1-075,2TTx64,483,6.267,6.116,2.382,55,55,0.022386,5.649631,0.03098,5.333726,2.239,323.7,3.099,305.6,-1.326,2.52,-1.804,TR-01_1-074-E,TR-01_1-076-W
sanjose,1,76,TR-01_1-076,SJ,TR-01_1-076,2TTx64,485,6.261,6.115,2.382,55,55,0.029422,5.344198,0.027743,5.389577,2.943,306.2,2.775,308.8,-2.375,2.163,-1.738,TR-01_1-075-E,TR-01_1-077-W
sanjose,1,77,TR-01_1-077,SJ,TR-01_1-077,2TTx64,487,6.299,6.101,2.382,55,55,0.026874,5.352925,0.035635,5.180137,2.688,306.7,3.565,296.8,-2.156,3.183,-1.605,TR-01_1-076-E,TR-01_1-078-W
sanjose,1,78,TR-01_1-078,SJ,TR-01_1-078,2TTx64,489,6.159,6.167,2.382,55,55,0.034556,5.049238,0.011809,0.258309,3.457,289.3,1.181,14.8,-3.263,-0.301,-1.142,TR-01_1-077-E,TR-01_1-079-W
sanjose,1,79,TR-01_1-079,SJ,TR-01_1-079,2TTx64,491,6.219,6.173,2.382,55,55,0.041257,5.042256,0.041127,5.044002,4.128,288.9,4.115,289,-3.905,3.891,-1.338,TR-01_1-078-E,TR-01_1-080-W
sanjose,1,80,TR-01_1-080,SJ,TR-01_1-080,2TTx64,493,6.195,6.198,2.382,55,55,0.037283,5.078908,0.028252,5.204572,3.73,291,2.826,298.2,-3.483,2.49,-1.336,TR-01_1-079-E,TR-01_1-081-W
sanjose,1,81,TR-01_1-081,SJ,TR-01_1-081,2TTx64,495,6.237,6.219,2.382,55,55,0.029961,5.082399,0.018468,5.338962,2.997,291.2,1.847,305.9,-2.794,1.495,-1.084,TR-01_1-080-E,
sanjose,1,82,TR-01_1-082,SJ,TR-01_1-082,2TTx64,471,5.459,6.526,2.382,55,55,,,0.028592,4.888667,,,2.86,280.1,,2.816,-0.501,,TR-01_1-083-W
sanjose,1,83,TR-01_1-083,SJ,TR-01_1-083,2TTx64,472,6.526,6.178,2.382,55,55,0.018868,5.166175,0.037413,4.935791,1.887,296,3.743,282.8,-1.696,3.651,-0.826,TR-01_1-082-E,TR-01_1-084-W
sanjose,1,84,TR-01_1-084,SJ,TR-01_1-084,2TTx64,474,6.162,6.273,2.382,55,55,0.034117,5.03702,0.035185,5.026548,3.413,288.6,3.52,288,-3.235,3.348,-1.088,TR-01_1-083-E,TR-01_1-085-W
sanjose,1,85,TR-01_1-085,SJ,TR-01_1-085,2TTx64,476,6.102,6.068,2.382,55,55,0.035195,4.98466,0.018178,5.260422,3.521,285.6,1.818,301.4,-3.391,1.551,-0.948,TR-01_1-084-E,TR-01_1-086-W
sanjose,1,86,TR-01_1-086,SJ,TR-01_1-086,2TTx64,478,6.226,6.273,2.382,55,55,0.017888,5.106833,0.023336,5.01084,1.789,292.6,2.334,287.1,-1.652,2.23,-0.688,TR-01_1-085-E,TR-01_1-087-W
sanjose,1,87,TR-01_1-087,SJ,TR-01_1-087,2TTx64,480,6.097,6.281,2.382,55,55,0.04495,4.799655,0.019178,4.920083,4.498,275,1.918,281.9,-4.481,1.877,-0.394,TR-01_1-086-E,TR-01_1-088-W
sanjose,1,88,TR-01_1-088,SJ,TR-01_1-088,2TTx64,482,6.141,6.267,2.382,55,55,0.00626,5.344198,0.033048,4.82409,0.626,306.2,3.306,276.4,-0.505,3.285,-0.369,TR-01_1-087-E,TR-01_1-089-W
sanjose,1,89,TR-01_1-089,SJ,TR-01_1-089,2TTx64,484,6.116,6.261,2.382,55,55,0.027363,4.995132,0.027053,4.998623,2.737,286.2,2.706,286.4,-2.628,2.596,-0.763,TR-01_1-088-E,TR-01_1-090-W
sanjose,1,90,TR-01_1-090,SJ,TR-01_1-090,2TTx64,486,6.115,6.299,2.382,55,55,0.026314,5.176647,0.03142,5.096361,2.632,296.6,3.143,292,-2.354,2.914,-1.176,TR-01_1-089-E,TR-01_1-091-W
