cfg,nombre,dia,minZ,elev,mv,intervalos_fs0,n_cruces,theta_poa_max,fs_en_theta_max,poa_max_Wm2,n_pares_contraejemplo
25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-jun,880,53.076,33,"-55…55",0,-35.25,0.000000e+0,925.9954,0
25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-jun,1120,9.289,33,"8.25…9.25",2,-55,8.075496e-1,165.6211,69
25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,960,24.086,33,"29.25…34.25",2,-55,2.313608e-1,649.9495,253
25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,1080,2.487,64,"3.5…4",2,-37.75,8.894498e-1,12.8679,29
25,"Zaragoza · cresta 1 · N-S quebrado 4° · quebrado · medios ×1 · 6 filas · az 15°",21-dic,520,10.136,33,"-9.5…-9.25",2,46.25,6.158369e-1,202.6183,74
26,"Zaragoza · llano · N-S aleatorio 6° · quebrado · bagnarelli ×1 · 8 filas · az 0°",21-jun,800,66.059,28,"-55…-25.5 -11…55",2,-20,1.886102e-4,954.4410,57
26,"Zaragoza · llano · N-S aleatorio 6° · quebrado · bagnarelli ×1 · 8 filas · az 0°",21-mar,720,48.724,28,"-55…55",0,4.75,0.000000e+0,739.0737,0
26,"Zaragoza · llano · N-S aleatorio 6° · quebrado · bagnarelli ×1 · 8 filas · az 0°",21-mar,780,47.306,28,"-55…55",0,-19,0.000000e+0,753.3415,0
27,"Arequipa · ondulado 0.6 · N-S constante -6° · mono · tresbolillo ×1 · 6 filas · az 0°",21-jun,1160,35.607,17,"-55…55",0,-44,0.000000e+0,848.0281,0
27,"Arequipa · ondulado 0.6 · N-S constante -6° · mono · tresbolillo ×1 · 6 filas · az 0°",21-mar,700,10.908,17,"-27.5…4.75",2,55,5.330407e-1,390.8967,90
27,"Arequipa · ondulado 0.6 · N-S constante -6° · mono · tresbolillo ×1 · 6 filas · az 0°",21-dic,900,64.375,17,"-55…55",0,27,0.000000e+0,1130.3798,0
27,"Arequipa · ondulado 0.6 · N-S constante -6° · mono · tresbolillo ×1 · 6 filas · az 0°",21-dic,1060,75.485,17,"-55…55",0,-14,0.000000e+0,1141.7534,0
28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-jun,900,49.464,17,"-55…55",0,-39.25,0.000000e+0,934.8282,0
28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,380,2.253,33,"-1.75…-1.25",2,45.25,9.696970e-1,8.4904,11
28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,460,16.813,17,"-43.5…10",2,47.75,4.986128e-1,474.4911,133
