caso,hora,elev,azimut,torsion,politica,fila,theta_JS,theta_PY,dtheta_con_signo,dPOA,se_movio_fila,se_movio_politica
A,07:30,9.2834,66.7257,0.0000,mgl,2,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,mgl,3,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,mgl,4,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,mgl,5,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,optimal,0,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,optimal,1,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,optimal,2,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,optimal,3,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,optimal,4,42.078044,42.078044,0.000000,-6.476189,1,1
A,07:30,9.2834,66.7257,0.0000,optimal,5,42.078044,42.078044,0.000000,-6.476189,1,1
A,09:00,25.3226,80.2731,0.0000,astro,0,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,astro,1,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,astro,2,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,astro,3,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,astro,4,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,astro,5,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,global,0,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,global,1,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,global,2,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,global,3,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,global,4,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,global,5,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,row,0,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,row,1,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,row,2,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,row,3,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,row,4,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,row,5,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,pairwise,0,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,pairwise,1,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,pairwise,2,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,pairwise,3,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,pairwise,4,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,pairwise,5,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,true3d,0,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,true3d,1,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,true3d,2,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,true3d,3,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,true3d,4,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,true3d,5,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,mgl,0,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,mgl,1,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,mgl,2,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,mgl,3,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,mgl,4,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,mgl,5,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,optimal,0,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,optimal,1,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,optimal,2,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,optimal,3,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,optimal,4,55.000000,55.000000,0.000000,-4.054537,0,0
A,09:00,25.3226,80.2731,0.0000,optimal,5,55.000000,55.000000,0.000000,-4.054537,0,0
A,12:00,58.3010,115.1015,0.0000,astro,0,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,astro,1,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,astro,2,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,astro,3,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,astro,4,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,astro,5,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,global,0,29.216594,29.216594,0.000000,-5.440062,1,1
A,12:00,58.3010,115.1015,0.0000,global,1,29.216594,29.216594,0.000000,-5.440062,1,1
