bloque,cfg,nombre,dia,minZ,elev,unidad_o_pareja,bisection_deg,barrido_fino_deg,delta_deg,cruces
bt3dPairMaxMag,18,"Arequipa · cresta 1 · N-S aleatorio 3° · mono · tresbolillo ×2 · 6 filas · az 0°",21-mar,1300,17.657,pareja 0,50.675231,50.650000,0.02523145,1
bt3dPairMaxMag,17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1340,8.156,pareja 1,21.074940,21.050000,0.02494038,1
bt3dPairMaxMag,17,"Arequipa · pendiente -3 · N-S senoidal 2° · bifila · tresbolillo ×1 · 6 filas · az 0°",21-mar,1340,8.156,pareja 4,21.074940,21.050000,0.02494038,1
bt3dPairMaxMag,28,"Zaragoza · aleatorio 7 · N-S constante 3° · quebrado · medios ×1 · 6 filas · az 15°",21-mar,380,2.253,pareja 4,1.674884,1.650000,0.02488448,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,1160,2.751,pareja 0,4.824776,4.800000,0.02477569,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,1160,2.751,pareja 1,4.824776,4.800000,0.02477569,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,1160,2.751,pareja 2,4.824776,4.800000,0.02477569,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,1160,2.751,pareja 3,4.824776,4.800000,0.02477569,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,1160,2.751,pareja 4,4.824776,4.800000,0.02477569,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,1160,2.751,pareja 5,4.824776,4.800000,0.02477569,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,1160,2.751,pareja 6,4.824776,4.800000,0.02477569,1
bt3dPairMaxMag,20,"Zaragoza · llano · N-S rotula 2° · bifila · tresbolillo ×1 · 10 filas · az 0°",21-jun,1160,2.751,pareja 7,4.824776,4.800000,0.02477569,1
